time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 09:30:00+00:00,4.12255,4.12314,4.12225,4.12254,451,350,0
2025-01-02 09:35:00+00:00,4.12263,4.12307,4.12167,4.123,456,350,0
2025-01-02 09:40:00+00:00,4.12303,4.12314,4.1213,4.12147,453,350,0
2025-01-02 09:45:00+00:00,4.12141,4.12154,4.11946,4.12069,603,350,0
2025-01-02 09:50:00+00:00,4.12067,4.12164,4.11825,4.11868,603,350,0
2025-01-02 09:55:00+00:00,4.11865,4.11999,4.11794,4.11866,652,350,0
2025-01-02 10:00:00+00:00,4.11875,4.11904,4.1145,4.11665,734,350,0
2025-01-02 10:05:00+00:00,4.11667,4.12159,4.11628,4.12153,522,350,0
2025-01-02 10:10:00+00:00,4.12152,4.12259,4.11886,4.12082,621,350,0
2025-01-02 10:15:00+00:00,4.1209,4.12342,4.12039,4.12316,612,350,0
2025-01-02 10:20:00+00:00,4.12315,4.12405,4.12185,4.12259,594,350,0
2025-01-02 10:25:00+00:00,4.12245,4.12626,4.12072,4.12556,720,350,0
2025-01-02 10:30:00+00:00,4.12576,4.12776,4.12341,4.12363,739,350,0
2025-01-02 10:35:00+00:00,4.12354,4.12363,4.12128,4.12313,564,350,0
2025-01-02 10:40:00+00:00,4.12318,4.12327,4.12126,4.12221,565,350,0
2025-01-02 10:45:00+00:00,4.12218,4.12218,4.1199,4.12132,613,350,0
2025-01-02 10:50:00+00:00,4.12136,4.12205,4.12084,4.12121,455,350,0
2025-01-02 10:55:00+00:00,4.12124,4.12231,4.11802,4.11825,716,350,0
2025-01-02 11:00:00+00:00,4.11824,4.11902,4.11633,4.11901,708,350,0
2025-01-02 11:05:00+00:00,4.11899,4.1198,4.11826,4.11849,562,350,0
2025-01-02 11:10:00+00:00,4.11853,4.11865,4.11637,4.11703,533,350,0
2025-01-02 11:15:00+00:00,4.11702,4.11705,4.11263,4.11336,456,350,0
2025-01-02 11:20:00+00:00,4.11342,4.11519,4.11252,4.11484,552,350,0
2025-01-02 11:25:00+00:00,4.11489,4.116,4.1137,4.1156,485,350,0
2025-01-02 11:30:00+00:00,4.11562,4.11647,4.11415,4.11597,521,350,0
2025-01-02 11:35:00+00:00,4.11608,4.1178,4.11579,4.11758,576,350,0
2025-01-02 11:40:00+00:00,4.11745,4.11812,4.11658,4.11803,511,350,0
2025-01-02 11:45:00+00:00,4.11804,4.11932,4.11714,4.11737,322,350,0
2025-01-02 11:50:00+00:00,4.1171,4.11879,4.11668,4.11875,372,350,0
2025-01-02 11:55:00+00:00,4.11874,4.12064,4.11874,4.11937,555,350,0
2025-01-02 12:00:00+00:00,4.11936,4.11973,4.11855,4.11891,353,350,0
2025-01-02 12:05:00+00:00,4.11896,4.12009,4.11858,4.11946,381,350,0
2025-01-02 12:10:00+00:00,4.11947,4.12095,4.11896,4.12029,492,350,0
2025-01-02 12:15:00+00:00,4.12028,4.12073,4.11818,4.11845,553,350,0
2025-01-02 12:20:00+00:00,4.11843,4.12108,4.11837,4.12061,446,350,0
2025-01-02 12:25:00+00:00,4.12048,4.12225,4.12048,4.12144,352,350,0
2025-01-02 12:30:00+00:00,4.12147,4.12636,4.12138,4.12504,579,350,0
2025-01-02 12:35:00+00:00,4.1251,4.12616,4.12415,4.12472,533,350,0
2025-01-02 12:40:00+00:00,4.12471,4.12648,4.1247,4.12558,491,350,0
2025-01-02 12:45:00+00:00,4.12552,4.13709,4.12491,4.13572,637,350,0
2025-01-02 12:50:00+00:00,4.13583,4.13677,4.13229,4.13428,892,350,0
2025-01-02 12:55:00+00:00,4.13467,4.13627,4.13386,4.13569,727,350,0
2025-01-02 13:00:00+00:00,4.13573,4.1363199999999996,4.13185,4.13197,615,350,0
2025-01-02 13:05:00+00:00,4.13196,4.13278,4.13134,4.13159,543,350,0
2025-01-02 13:10:00+00:00,4.13167,4.13179,4.12967,4.13009,592,350,0
2025-01-02 13:15:00+00:00,4.13011,4.13105,4.12929,4.13016,505,350,0
2025-01-02 13:20:00+00:00,4.13022,4.13329,4.1302,4.13291,527,350,0
2025-01-02 13:25:00+00:00,4.13292,4.13545,4.13292,4.135,572,350,0
2025-01-02 13:30:00+00:00,4.1350999999999996,4.13753,4.1350999999999996,4.13741,441,350,0
2025-01-02 13:35:00+00:00,4.13744,4.13922,4.1354,4.1354,463,350,0
