symbol,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,exit_reason,entry_tag,exit_tag,tp1_price,tp1_time,tp1_exit_reason,tp2_price,tp2_time,tp1_pnl,pnl_points,pnl_usd,capital
GBPUSD,short,2025-01-21 18:45:00+00:00,2025-01-21 18:55:00+00:00,1.23178,1.233119296372844,0.373,-0.0013392963728438012,auto,__support,auto,,,,,,,-0.0013392963728438012,-40.5557442944956,9703.696966307236
GBPUSD,short,2025-01-21 19:40:00+00:00,2025-01-21 23:05:00+00:00,1.23298,1.2341599551002347,0.424,-0.0011799551002347197,auto,__support,auto,,,,,,,-0.0011799551002347197,-40.57656754363584,9663.1203987636
GBPUSD,short,2025-01-21 23:55:00+00:00,2025-01-22 11:00:00+00:00,1.23411,1.2341054061976207,0.1065,0.0011754902203351403,auto,__support,auto,1.23199,2025-01-22 08:50:00+00:00,RR_1:2,,,0.00022578000000001295,0.0011754902203351403,10.144128843108998,9673.264527606709
GBPUSD,short,2025-01-22 12:50:00+00:00,2025-01-22 17:30:00+00:00,1.23621,1.23251,0.1225,0.0028716677213906916,RR_1:4,__support,RR_1:4,1.23434,2025-01-22 15:40:00+00:00,RR_1:2,"{'level': 1.2321233291144373, 'tag': 'RR_1:4'}",2025-01-22 17:30:00+00:00,0.0002290750000000047,0.0028716677213906916,28.456273276414176,9701.720800883124
GBPUSD,long,2025-01-23 04:15:00+00:00,2025-01-23 09:00:00+00:00,1.23071,1.2307129401611077,0.2655,0.0004722331376785238,BE after TP1,__resistance,BE after TP1,1.23157,2025-01-23 06:10:00+00:00,RR_1:2,,,0.00022833000000002204,0.0004722331376785238,10.187444487624873,9711.908245370749
GBPUSD,long,2025-01-23 09:00:00+00:00,2025-01-23 09:10:00+00:00,1.23075,1.2299914145480244,0.659,-0.0007585854519756019,auto,__resistance,auto,,,,,,,-0.0007585854519756019,-40.61814445272571,9671.290100918022
GBPUSD,long,2025-01-23 09:25:00+00:00,2025-01-23 12:15:00+00:00,1.23017,1.23222,0.224,0.0015829797370704446,RR_1:4,__resistance,RR_1:4,1.23164,2025-01-23 11:55:00+00:00,RR_1:2,"{'level': 1.2324019189482815, 'tag': 'RR_1:4'}",2025-01-23 12:15:00+00:00,0.0003292800000000185,0.0015829797370704446,28.82426502871795,9700.11436594674
GBPUSD,long,2025-01-23 14:25:00+00:00,2025-01-23 16:05:00+00:00,1.23062,1.23245,0.208,0.0015163867983297719,RR_1:4,__resistance,RR_1:4,1.23193,2025-01-23 15:00:00+00:00,RR_1:2,"{'level': 1.2330255471933191, 'tag': 'RR_1:4'}",2025-01-23 16:05:00+00:00,0.0002724799999999838,0.0015163867983297719,25.63004453467297,9725.744410481413
GBPUSD,short,2025-01-23 19:25:00+00:00,2025-01-23 19:45:00+00:00,1.23444,1.236883634671205,0.205,-0.0024436346712051193,auto,__support,auto,,,,,,,-0.0024436346712051193,-40.58075788187757,9685.163652599536
GBPUSD,short,2025-01-24 05:30:00+00:00,2025-01-24 08:10:00+00:00,1.23837,1.2410228714244338,0.188,-0.0026528714244338225,auto,__support,auto,,,,,,,-0.0026528714244338225,-40.27389453826874,9644.889758061267
GBPUSD,short,2025-01-24 09:30:00+00:00,2025-01-24 11:20:00+00:00,1.23814,1.242435629868587,0.116,-0.004295629868587003,auto,__support,auto,,,,,,,-0.004295629868587003,-40.24529251587804,9604.644465545389
GBPUSD,short,2025-01-27 01:45:00+00:00,2025-01-27 10:45:00+00:00,1.24569,1.2456840390403325,0.142,0.0008824985210480474,auto,__support,auto,1.24382,2025-01-27 10:00:00+00:00,RR_1:2,,,0.0002655400000000054,0.0008824985210480474,10.05986962958864,9614.704335174978
GBPUSD,short,2025-01-27 13:20:00+00:00,2025-01-27 15:05:00+00:00,1.25048,1.2522584289127288,0.281,-0.0017784289127287245,auto,__support,auto,,,,,,,-0.0017784289127287245,-39.96373588356244,9574.740599291415
GBPUSD,short,2025-01-27 15:15:00+00:00,2025-01-28 01:35:00+00:00,1.25082,1.24451,0.114,0.004253573061824056,RR_1:4,__support,RR_1:4,1.24869,2025-01-27 17:05:00+00:00,RR_1:2,"{'level': 1.246425707752704, 'tag': 'RR_1:4'}",2025-01-28 01:35:00+00:00,0.00024281999999999605,0.004253573061824056,38.7671550701094,9613.507754361524
GBPUSD,long,2025-01-28 06:40:00+00:00,2025-01-28 08:45:00+00:00,1.24384,1.2438433671973708,0.2915,0.0004303891810872873,BE after TP1,__resistance,BE after TP1,1.24461,2025-01-28 07:20:00+00:00,RR_1:2,,,0.00022445499999998174,0.0004303891810872873,10.086381390447665,9623.594135751971
GBPUSD,long,2025-01-28 09:05:00+00:00,2025-01-28 09:35:00+00:00,1.24439,1.2430244303253235,0.366,-0.0013655696746766033,auto,__resistance,auto,,,,,,,-0.0013655696746766033,-40.164136720130884,9583.429999031841
GBPUSD,long,2025-01-28 09:55:00+00:00,2025-01-28 12:55:00+00:00,1.24368,1.2436867954196504,0.149,0.0008431375410140607,BE after TP1,__resistance,BE after TP1,1.2451,2025-01-28 11:15:00+00:00,RR_1:2,,,0.00021158000000002963,0.0008431375410140607,10.101271517680999,9593.531270549522
GBPUSD,long,2025-01-28 13:05:00+00:00,2025-01-28 13:35:00+00:00,1.24398,1.2429002261355186,0.463,-0.001079773864481437,auto,__resistance,auto,,,,,,,-0.001079773864481437,-40.188371135782354,9553.34289941374
GBPUSD,long,2025-01-28 14:10:00+00:00,2025-01-28 18:40:00+00:00,1.24279,1.2427964722987077,0.158,0.0007936081209836132,BE after TP1,__resistance,BE after TP1,1.24431,2025-01-28 17:30:00+00:00,RR_1:2,,,0.0002401599999999946,0.0007936081209836132,10.08940232182516,9563.432301735565
GBPUSD,long,2025-01-28 18:55:00+00:00,2025-01-29 08:40:00+00:00,1.24294,1.24591,0.173,0.0022080816262864955,RR_1:4,__resistance,RR_1:4,1.24422,2025-01-28 21:50:00+00:00,RR_1:2,"{'level': 1.2458323265051456, 'tag': 'RR_1:4'}",2025-01-29 08:40:00+00:00,0.00022144000000002938,0.0022080816262864955,30.733432132489398,9594.165733868054
GBPUSD,long,2025-01-29 11:15:00+00:00,2025-01-29 11:55:00+00:00,1.24332,1.2420697947274826,0.4,-0.0012502052725174018,auto,__resistance,auto,,,,,,,-0.0012502052725174018,-40.22151248326744,9553.944221384787
GBPUSD,long,2025-01-29 14:35:00+00:00,2025-01-29 15:15:00+00:00,1.24167,1.240370252752373,0.385,-0.0012997472476270477,auto,__resistance,auto,,,,,,,-0.0012997472476270477,-40.300779622316185,9513.643441762471
GBPUSD,long,2025-01-29 15:35:00+00:00,2025-01-29 17:50:00+00:00,1.24018,1.24351,0.1585,0.00245293070657171,RR_1:4,__resistance,RR_1:4,1.24158,2025-01-29 17:20:00+00:00,RR_1:2,"{'level': 1.2433317228262872, 'tag': 'RR_1:4'}",2025-01-29 17:50:00+00:00,0.00022189999999997555,0.00245293070657171,31.349442580239643,9544.992884342711
GBPUSD,short,2025-01-30 17:10:00+00:00,2025-01-30 22:45:00+00:00,1.24641,1.24316,0.123,0.00264186943988165,RR_1:4,__support,RR_1:4,1.24414,2025-01-30 19:15:00+00:00,RR_1:2,"{'level': 1.2423425222404734, 'tag': 'RR_1:4'}",2025-01-30 22:45:00+00:00,0.0002792099999999993,0.00264186943988165,26.070870829457636,9571.063755172168
GBPUSD,long,2025-01-31 00:05:00+00:00,2025-01-31 00:15:00+00:00,1.24187,1.2404334203013407,0.348,-0.0014365796986592905,auto,__resistance,auto,,,,,,,-0.0014365796986592905,-40.256205169094436,9530.807550003074
GBPUSD,long,2025-01-31 00:15:00+00:00,2025-01-31 03:25:00+00:00,1.24109,1.2410947991396697,0.1535,0.000816970919511828,BE after TP1,__resistance,BE after TP1,1.24283,2025-01-31 02:05:00+00:00,RR_1:2,,,0.0002670900000000115,0.000816970919511828,10.104427249036378,9540.91197725211
GBPUSD,long,2025-01-31 03:25:00+00:00,2025-01-31 10:40:00+00:00,1.24161,1.2416128362273222,0.174,0.0007194843543955054,BE after TP1,__resistance,BE after TP1,1.24282,2025-01-31 08:50:00+00:00,RR_1:2,,,0.0002105399999999884,0.0007194843543955054,10.082898628781818,9550.994875880891
GBPUSD,long,2025-01-31 11:30:00+00:00,2025-01-31 13:20:00+00:00,1.24095,1.2409553069182155,0.169,0.000743285460325982,BE after TP1,__resistance,BE after TP1,1.24244,2025-01-31 12:25:00+00:00,RR_1:2,,,0.0002518099999999985,0.000743285460325982,10.122506369724078,9561.117382250617
GBPUSD,long,2025-01-31 13:35:00+00:00,2025-01-31 15:35:00+00:00,1.24104,1.2410445692281296,0.242,0.0005192779997207353,BE after TP1,__resistance,BE after TP1,1.24175,2025-01-31 14:25:00+00:00,RR_1:2,,,0.0001718199999999972,0.0005192779997207353,10.125803836493422,9571.24318608711
GBPUSD,long,2025-01-31 16:40:00+00:00,2025-01-31 18:45:00+00:00,1.23965,1.24416,0.1545,0.0030645100051260865,RR_1:4,__resistance,RR_1:4,1.24183,2025-01-31 17:35:00+00:00,RR_1:2,"{'level': 1.2428880400205042, 'tag': 'RR_1:4'}",2025-01-31 18:45:00+00:00,0.00033681000000001095,0.0030645100051260865,38.193586560075865,9609.436772647185
GBPUSD,short,2025-01-31 19:45:00+00:00,2025-01-31 20:35:00+00:00,1.24571,1.23998,0.1075,0.004029323582094402,RR_1:4,__support,RR_1:4,1.23998,2025-01-31 20:35:00+00:00,RR_1:2,"{'level': 1.2410527056716225, 'tag': 'RR_1:4'}",2025-01-31 20:35:00+00:00,0.0006159750000000014,0.004029323582094402,34.77151865804627,9644.20829130523
GBPUSD,long,2025-01-31 20:40:00+00:00,2025-02-03 00:00:00+00:00,1.24047,1.2377693560135534,0.185,-0.002700643986446538,auto,__resistance,auto,,,,,,,-0.002700643986446538,-40.27659979625542,9603.931691508977
GBPUSD,short,2025-02-04 01:15:00+00:00,2025-02-04 03:40:00+00:00,1.24451,1.24151,0.1495,0.002335251254821258,RR_1:4,__support,RR_1:4,1.24251,2025-02-04 02:15:00+00:00,RR_1:2,"{'level': 1.2411689949807152, 'tag': 'RR_1:4'}",2025-02-04 03:40:00+00:00,0.0002990000000000003,0.002335251254821258,28.052812962192192,9631.98450447117
GBPUSD,short,2025-02-05 10:35:00+00:00,2025-02-05 10:55:00+00:00,1.24968,1.2511760511471406,0.334,-0.0014960511471406868,auto,__support,auto,,,,,,,-0.0014960511471406868,-39.98472274062076,9591.999781730548
GBPUSD,long,2025-02-03 17:20:00+00:00,2025-02-05 12:50:00+00:00,1.23952,1.25419,0.034,0.011023535899012393,RR_1:4,__resistance,RR_1:4,1.24704,2025-02-04 17:25:00+00:00,RR_1:2,"{'level': 1.2542741435960496, 'tag': 'RR_1:4'}",2025-02-05 12:50:00+00:00,0.000255679999999999,0.011023535899012393,30.237529089197544,9622.237310819746
GBPUSD,short,2025-02-05 17:10:00+00:00,2025-02-06 11:55:00+00:00,1.25068,1.24248,0.0665,0.005986620528690589,RR_1:4,__support,RR_1:4,1.24738,2025-02-06 10:00:00+00:00,RR_1:2,"{'level': 1.2431335178852376, 'tag': 'RR_1:4'}",2025-02-06 11:55:00+00:00,0.00021945000000000536,0.005986620528690589,31.83150487398249,9654.068815693729
GBPUSD,long,2025-02-06 14:30:00+00:00,2025-02-06 18:25:00+00:00,1.238,1.24428,0.0795,0.004714701227099605,RR_1:4,__resistance,RR_1:4,1.24078,2025-02-06 16:40:00+00:00,RR_1:2,"{'level': 1.2442988049083983, 'tag': 'RR_1:4'}",2025-02-06 18:25:00+00:00,0.00022101000000000038,0.004714701227099605,30.276150852537846,9684.344966546265
